"Sepal.Length"	"Sepal.Width"	"Petal.Length"	"Petal.Width"	"Species"	"ID"
"1"	5.1	-3	1.4	9	"setosa"	1
"2"	4.9	-3	1.4	9	"setosa"	2
"3"	4.7	-3	1.3	9	"setosa"	3
"4"	4.6	-3	1.5	9	"setosa"	4
"5"	5	-3	1.4	9	"setosa"	5
"6"	5.4	-3	1.7	9	"setosa"	6
"7"	4.6	-3	1.4	9	"setosa"	7
"8"	5	-3	1.5	9	"setosa"	8
"9"	4.4	-3	1.4	9	"setosa"	9
"10"	4.9	-3	1.5	9	"setosa"	10
"11"	5.4	-3	1.5	9	"setosa"	11
"12"	4.8	-3	1.6	9	"setosa"	12
"13"	4.8	-3	1.4	9	"setosa"	13
"14"	4.3	-3	1.1	9	"setosa"	14
"15"	5.8	-3	1.2	9	"setosa"	15
"16"	5.7	-3	1.5	9	"setosa"	16
"17"	5.4	-3	1.3	9	"setosa"	17
"18"	5.1	-3	1.4	9	"setosa"	18
"19"	5.7	-3	1.7	9	"setosa"	19
"20"	5.1	-3	1.5	9	"setosa"	20
"21"	5.4	-3	1.7	9	"setosa"	21
"22"	5.1	-3	1.5	9	"setosa"	22
"23"	4.6	-3	1	9	"setosa"	23
"24"	5.1	-3	1.7	9	"setosa"	24
"25"	4.8	-3	1.9	9	"setosa"	25
"26"	5	-3	1.6	9	"setosa"	26
"27"	5	-3	1.6	9	"setosa"	27
"28"	5.2	-3	1.5	9	"setosa"	28
"29"	5.2	-3	1.4	9	"setosa"	29
"30"	4.7	-3	1.6	9	"setosa"	30
"31"	4.8	-3	1.6	9	"setosa"	31
"32"	5.4	-3	1.5	9	"setosa"	32
"33"	5.2	-3	1.5	9	"setosa"	33
"34"	5.5	-3	1.4	9	"setosa"	34
"35"	4.9	-3	1.5	9	"setosa"	35
"36"	5	-3	1.2	9	"setosa"	36
"37"	5.5	-3	1.3	9	"setosa"	37
"38"	4.9	-3	1.4	9	"setosa"	38
"39"	4.4	-3	1.3	9	"setosa"	39
"40"	5.1	-3	1.5	9	"setosa"	40
"41"	5	-3	1.3	9	"setosa"	41
"42"	4.5	-3	1.3	9	"setosa"	42
"43"	4.4	-3	1.3	9	"setosa"	43
